probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
1004171,1759845025,2025-10-07 15:50:25,,0,-1
1004463,1759845022,2025-10-07 15:50:22,172.217.169.206,1,49.5944184
1006285,1759845031,2025-10-07 15:50:31,142.250.186.78,1,6.7725895
1006437,1759845034,2025-10-07 15:50:34,172.217.168.206,1,13.5154372
1008095,1759845026,2025-10-07 15:50:26,172.217.18.206,1,16.5929664
1008172,1759845020,2025-10-07 15:50:20,216.58.212.46,1,60.876697899999996
1008837,1759845029,2025-10-07 15:50:29,,0,-1
1009077,1759845033,2025-10-07 15:50:33,172.253.118.93,1,2.5101337
1009200,1759845032,2025-10-07 15:50:32,172.217.28.142,1,0.7884808
1009234,1759845024,2025-10-07 15:50:24,142.251.209.14,1,10.539948300000002
1009868,1759845025,2025-10-07 15:50:25,216.58.214.142,1,6.2155179
1010397,1759845033,2025-10-07 15:50:33,216.58.206.78,1,2.7094536000000002
1010399,1759845029,2025-10-07 15:50:29,142.250.179.142,1,6.4867568
1010625,1759845029,2025-10-07 15:50:29,142.251.40.238,1,229.1496806
1011004,1759845032,2025-10-07 15:50:32,209.85.233.198,1,3.9656113000000004
1011275,1759845025,2025-10-07 15:50:25,142.251.36.78,1,9.036129500000001
1012213,1759845032,2025-10-07 15:50:32,142.250.180.110,1,15.4044613
52015,1759845049,2025-10-07 15:50:49,64.233.180.93,1,19.499049899999996
52229,1759845050,2025-10-07 15:50:50,142.250.80.46,1,19.7517417
52235,1759845058,2025-10-07 15:50:58,142.250.113.190,1,12.9731835
52645,1759845059,2025-10-07 15:50:59,142.250.191.142,1,22.636262600000002
54374,1759845051,2025-10-07 15:50:51,142.250.74.174,1,37.935341699999995
55330,1759845052,2025-10-07 15:50:52,142.250.217.142,1,8.621550000000001
55859,1759845055,2025-10-07 15:50:55,172.217.16.14,1,4.4458294
60433,1759845050,2025-10-07 15:50:50,172.217.194.91,1,41.2428333
